k,n,kappa_h,kappa_star_h
1,4,0.0061102124173294334,0.00543174114878544
1,6,0.004860347297341987,0.004633738794059423
1,8,0.004450643069898606,0.004340410619529157
1,10,0.004255245311876847,0.004190504565924699
2,4,0.005470509472556861,0.005454408764848342
2,6,0.004671653100760867,0.004668863567055256
2,8,0.004365613761874382,0.004364769654457466
3,4,0.005483233713114448,0.005482058872411021
3,6,0.004683852646466273,0.004683710270657606
